"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -3.282221641,      -3.344041199,      -19.92852542
          0,           0,           1,      -3.935326946,      -3.100427863,      -4.310785898
          0,           0,           2,      -3.941107032,      -3.615165876,      -4.265396144
          0,           0,           3,      -4.135222471,      -3.845193436,      -4.613480617
          0,           0,           4,       -4.49540434,      -3.984082186,      -4.727639645
          0,           0,           5,       -4.66921823,      -4.067213999,      -4.793828726
          0,           0,           6,      -4.965010806,       -4.36744467,      -4.885606964
          0,           0,           7,      -4.797549508,      -4.230070844,      -4.904526437
          0,           0,           8,      -4.723886237,      -4.140815861,      -4.888891759
          0,           0,           9,      -4.878630998,       -4.27873676,      -4.837375965
          0,           0,          10,      -5.037883637,       -4.45114256,      -4.783350516
          0,           0,          11,      -5.049044612,      -4.484894983,      -4.717391387
          0,           0,          12,      -4.990020184,      -4.409590009,      -4.640187968
          0,           0,          13,      -4.957925898,      -4.356101365,      -4.563673511
          0,           0,          14,      -5.013874173,      -4.392068754,      -4.520770907
          0,           0,          15,      -5.092303759,      -4.436611532,      -4.525918356
          0,           0,          16,      -5.130416674,      -4.453773217,      -4.548325969
          0,           0,          17,      -5.181426424,      -4.492788756,      -4.590841912
          0,           0,          18,      -5.205445887,      -4.537996703,      -4.638030727
          0,           0,          19,      -5.211060962,      -4.560702107,      -4.680457924
          0,           0,          20,      -5.250480534,       -4.61354435,      -4.723787501
          0,           0,          21,      -5.318713462,      -4.687104564,      -4.766113096
          0,           0,          22,      -5.369903838,      -4.749782203,      -4.820819578
          0,           0,          23,      -5.464558555,      -4.839292166,      -4.885963407
          0,           0,          24,      -5.496188975,      -4.873176581,      -4.932192687
          0,           0,          25,      -5.539064191,       -4.91754096,      -4.980422802
          0,           0,          26,      -5.564502207,      -4.946937546,      -5.037820393
          0,           0,          27,       -5.64979071,      -5.041108101,      -5.089483428
          0,           0,          28,      -5.707656057,      -5.110200531,      -5.144098643
          0,           0,          29,      -5.756506884,      -5.167609163,      -5.189786466
          0,           0,          30,      -5.832718381,      -5.229067278,      -5.219577665
          0,           0,          31,      -5.900006454,      -5.258761731,      -5.244436164
